"airline_name","airport_name","dep_iata","dep_time","top_airports","top_airlines","destination"
"Air Canada","Detroit Metropolitan Wayne County Airport","YYZ","2023-06-05 14:05",11,179,"International"
"Westjet","St. John's International Airport","YYZ","2023-06-05 14:05",10,50,"Domestic"
"Air Transat","Juan Gualberto Gomez International Airport","YYZ","2023-06-05 14:15",3,29,"International"
"Lufthansa Cargo","Windsor Airport","YYZ","2023-06-05 14:15",5,16,"Domestic"
"Lufthansa","Windsor Airport","YYZ","2023-06-05 14:15",5,16,"Domestic"
"Air Canada","John Glenn Columbus International Airport","YYZ","2023-06-05 14:15",4,179,"International"
"United Airlines","Cincinnati/Northern Kentucky International Airport","YYZ","2023-06-05 14:15",4,83,"International"
"Air Canada","Baltimore-Washington International Airport","YYZ","2023-06-05 14:15",5,179,"International"
"Westjet","Edmonton International Airport","YYZ","2023-06-05 14:15",27,50,"Domestic"
"Air Canada","Regina International Airport","YYZ","2023-06-05 14:25",6,179,"Domestic"
"Jazz Aviation","Thunder Bay International Airport","YYZ","2023-06-05 13:55",6,41,"Domestic"
"Air Canada rouge","Charlottetown Airport","YYZ","2023-06-05 14:25",5,33,"Domestic"
"Flair Airlines","Fort Lauderdale-Hollywood International Airport","YYZ","2023-06-05 14:25",5,21,"International"
"Aeromexico","John F. Kennedy International Airport","YYZ","2023-06-05 14:30",13,7,"International"
"Emirates","Dubai International Airport","YYZ","2023-06-05 14:30",3,21,"International"
"Emirates","Winnipeg J. A. Richardson International Airport","YYZ","2023-06-05 14:30",25,21,"Domestic"
"Air Canada rouge","Fredericton International Airport","YYZ","2023-06-05 14:30",3,33,"Domestic"
"Emirates","Timmins/Victor M. Power Airport","YYZ","2023-06-05 14:30",5,21,"Domestic"
"United Airlines","La Guardia Airport","YYZ","2023-06-05 14:30",37,83,"International"
"Air Canada rouge","Victoria International Airport","YYZ","2023-06-05 08:40",2,33,"Domestic"
"Emirates","Calgary International Airport","YYZ","2023-06-05 14:40",36,21,"Domestic"
"SAS","Newark Liberty International Airport","YYZ","2023-06-05 14:45",27,9,"International"
"Air Canada","Washington Dulles International Airport","YYZ","2023-06-05 14:45",10,179,"International"
"Air Canada","Winnipeg J. A. Richardson International Airport","YYZ","2023-06-05 14:50",25,179,"Domestic"
"Air Canada","Edmonton International Airport","YYZ","2023-06-05 14:50",27,179,"Domestic"
"United Airlines","Logan International Airport","YYZ","2023-06-05 14:50",8,83,"International"
"Delta Air Lines","La Guardia Airport","YYZ","2023-06-05 14:50",37,20,"International"
"Air Canada","Chicago O'Hare International Airport","YYZ","2023-06-05 15:00",26,179,"International"
"Brussels Airlines","Montreal-Pierre Elliott Trudeau International Airport","YYZ","2023-06-05 15:00",39,1,"Domestic"
"Westjet","Calgary International Airport","YYZ","2023-06-05 15:00",36,50,"Domestic"
"Westjet","Sangster International Airport","YYZ","2023-06-05 15:00",4,50,"International"
"Qantas Airways","Vancouver International Airport","YYZ","2023-06-05 15:00",38,7,"Domestic"
"Air Canada","Ottawa Macdonald-Cartier International Airport","YYZ","2023-06-05 15:10",26,179,"Domestic"
"Qantas Airways","Chicago O'Hare International Airport","YYZ","2023-06-05 15:14",26,7,"International"
"Air Canada","Greater Moncton International Airport","YYZ","2023-06-05 15:15",4,179,"Domestic"
"Swoop","Cancun International Airport","YYZ","2023-06-05 15:20",9,7,"International"
"Air Transat","Montreal-Pierre Elliott Trudeau International Airport","YYZ","2023-06-05 15:25",39,29,"Domestic"
"American Airlines","La Guardia Airport","YYZ","2023-06-05 15:29",37,20,"International"
"Emirates","Halifax Stanfield International Airport","YYZ","2023-06-05 15:30",21,21,"Domestic"
"American Airlines","Philadelphia International Airport","YYZ","2023-06-05 15:35",12,20,"International"
"EL AL","Benito Juarez International Airport","YYZ","2023-06-05 01:20",6,2,"International"
"SAS","Newark Liberty International Airport","YYZ","2023-06-05 15:45",27,9,"International"
"Delta Air Lines","Ottawa Macdonald-Cartier International Airport","YYZ","2023-06-05 15:50",26,20,"Domestic"
"Air Canada rouge","Jean Lesage International Airport","YYZ","2023-06-05 15:50",9,33,"Domestic"
"Air Canada","George Bush Intercontinental Airport","YYZ","2023-06-05 15:55",6,179,"International"
"Air New Zealand","Los Angeles International Airport","YYZ","2023-06-05 15:55",9,10,"International"
"Jetstream International Airlines","Charlotte Douglas International Airport","YYZ","2023-06-05 15:59",8,6,"International"
"Jazz Aviation","Chicago O'Hare International Airport","YYZ","2023-06-05 16:00",26,41,"International"
"United Airlines","La Guardia Airport","YYZ","2023-06-05 16:00",37,83,"International"
"Westjet","Orlando International Airport","YYZ","2023-06-05 16:00",9,50,"International"
"Lufthansa Cargo","Montreal-Pierre Elliott Trudeau International Airport","YYZ","2023-06-05 16:00",39,16,"Domestic"
"Lufthansa","Montreal-Pierre Elliott Trudeau International Airport","YYZ","2023-06-05 16:00",39,16,"Domestic"
"Virgin Atlantic","Calgary International Airport","YYZ","2023-06-05 16:00",36,5,"Domestic"
"Emirates","London International Airport","YYZ","2023-06-05 16:05",6,21,"Domestic"
"Jazz Aviation","Thunder Bay International Airport","YYZ","2023-06-05 16:05",6,41,"Domestic"
"Air Canada","Lambert-St. Louis International Airport","YYZ","2023-06-05 16:05",4,179,"International"
"Austrian","Calgary International Airport","YYZ","2023-06-05 16:10",36,17,"Domestic"
"Air Canada rouge","Halifax Stanfield International Airport","YYZ","2023-06-05 16:10",21,33,"Domestic"
"Air Canada","Ottawa Macdonald-Cartier International Airport","YYZ","2023-06-05 16:10",26,179,"Domestic"
"Austrian","Vancouver International Airport","YYZ","2023-06-05 16:15",38,17,"Domestic"
"Flair Airlines","Saskatoon John G. Diefenbaker International Airport","YYZ","2023-06-05 16:15",8,21,"Domestic"
"United Airlines","Denver International Airport","YYZ","2023-06-05 16:18",7,83,"International"
"Air Canada rouge","Orlando International Airport","YYZ","2023-06-05 16:25",9,33,"International"
"Westjet","Calgary International Airport","YYZ","2023-06-05 16:30",36,50,"Domestic"
"Austrian","San Francisco International Airport","YYZ","2023-06-05 16:30",8,17,"International"
"Jazz Aviation","Hartsfield-Jackson Atlanta International Airport","YYZ","2023-06-05 16:30",15,41,"International"
"SAS","Newark Liberty International Airport","YYZ","2023-06-05 16:30",27,9,"International"
"Air Transat","Montreal-Pierre Elliott Trudeau International Airport","YYZ","2023-06-05 16:30",39,29,"Domestic"
"Sunwing Airlines","Juan Gualberto Gomez International Airport","YYZ","2023-06-05 16:30",3,11,"International"
"United Airlines","Ronald Reagan Washington National Airport","YYZ","2023-06-05 16:30",9,83,"International"
"Lufthansa Cargo","Edmonton International Airport","YYZ","2023-06-05 16:40",27,16,"Domestic"
"Lufthansa","Edmonton International Airport","YYZ","2023-06-05 16:40",27,16,"Domestic"
"Korean Air","John F. Kennedy International Airport","YYZ","2023-06-05 16:44",13,7,"International"
"Air Canada rouge","Juan Santamaria International Airport","YYZ","2023-06-05 16:45",1,33,"International"
"Air Canada","Dallas/Fort Worth International Airport","YYZ","2023-06-05 16:45",8,179,"International"
"Avianca","St. John's International Airport","YYZ","2023-06-05 16:50",10,14,"Domestic"
"Croatia Airlines","Frankfurt Airport","YYZ","2023-06-05 16:50",6,2,"International"
"Jazz Aviation","Windsor Airport","YYZ","2023-06-05 16:50",5,41,"Domestic"
"Jazz Aviation","Nashville International Airport","YYZ","2023-06-05 16:50",6,41,"International"
"United Airlines","Pittsburgh International Airport","YYZ","2023-06-05 16:55",3,83,"International"
"Air France","Amsterdam Airport Schiphol","YYZ","2023-06-05 17:00",4,14,"International"
"Avianca","Montreal-Pierre Elliott Trudeau International Airport","YYZ","2023-06-05 17:00",39,14,"Domestic"
"SAS","Copenhagen Airport","YYZ","2023-06-05 17:00",2,9,"International"
"Avianca","Ottawa Macdonald-Cartier International Airport","YYZ","2023-06-05 17:10",26,14,"Domestic"
"United Airlines","Ben Gurion International Airport","YYZ","2023-06-05 16:10",2,83,"International"
"United Airlines","La Guardia Airport","YYZ","2023-06-05 17:10",37,83,"International"
"Avianca Costa Rica","Aeropuerto Internacional El Salvador","YYZ","2023-06-05 17:15",2,1,"International"
"Endeavor Air","La Guardia Airport","YYZ","2023-06-05 17:15",37,3,"International"
"Qantas Airways","Dallas/Fort Worth International Airport","YYZ","2023-06-05 17:28",8,7,"International"
"Copa Airlines","Chicago O'Hare International Airport","YYZ","2023-06-05 17:30",26,2,"International"
"Croatia Airlines","Munich International Airport","YYZ","2023-06-05 17:30",3,2,"International"
"Air Transat","Winnipeg J. A. Richardson International Airport","YYZ","2023-06-05 17:35",25,29,"Domestic"
"Air Canada","Logan International Airport","YYZ","2023-06-05 17:30",8,179,"International"
"Republic Airline","Newark Liberty International Airport","YYZ","2023-06-05 17:40",27,6,"International"
"Virgin Atlantic","Detroit Metropolitan Wayne County Airport","YYZ","2023-06-05 17:45",11,5,"International"
"Etihad","Montreal-Pierre Elliott Trudeau International Airport","YYZ","2023-06-05 17:45",39,2,"Domestic"
"United Airlines","Vienna International Airport","YYZ","2023-06-05 17:50",2,83,"International"
"American Airlines","Philadelphia International Airport","YYZ","2023-06-05 17:50",12,20,"International"
"Aer Lingus","Dublin Airport","YYZ","2023-06-05 17:50",4,6,"International"
"Westjet","Hartsfield-Jackson Atlanta International Airport","YYZ","2023-06-05 17:55",15,50,"International"
"United Airlines","Winnipeg J. A. Richardson International Airport","YYZ","2023-06-05 17:55",25,83,"Domestic"
"Air Canada rouge","Fort Lauderdale-Hollywood International Airport","YYZ","2023-06-05 17:55",5,33,"International"
"American Airlines","Miami International Airport","YYZ","2023-06-05 17:55",7,20,"International"
"Air Canada","London International Airport","YYZ","2023-06-05 18:00",6,179,"Domestic"
"Westjet","Halifax Stanfield International Airport","YYZ","2023-06-05 18:00",21,50,"Domestic"
"United Airlines","Regina International Airport","YYZ","2023-06-05 18:00",6,83,"Domestic"
"Westjet","Salt Lake City International Airport","YYZ","2023-06-05 18:10",2,50,"International"
"Air Canada","Ottawa Macdonald-Cartier International Airport","YYZ","2023-06-05 18:10",26,179,"Domestic"
"Jazz Aviation","Ronald Reagan Washington National Airport","YYZ","2023-06-05 18:10",9,41,"International"
"Lufthansa Cargo","Eleftherios Venizelos International Airport","YYZ","2023-06-05 18:10",2,16,"International"
"Lufthansa","Eleftherios Venizelos International Airport","YYZ","2023-06-05 18:10",2,16,"International"
"United Airlines","La Guardia Airport","YYZ","2023-06-05 18:10",37,83,"International"
"Lufthansa Cargo","Vancouver International Airport","YYZ","2023-06-05 18:15",38,16,"Domestic"
"Lufthansa","Vancouver International Airport","YYZ","2023-06-05 18:15",38,16,"Domestic"
"Flair Airlines","Winnipeg J. A. Richardson International Airport","YYZ","2023-06-05 18:15",25,21,"Domestic"
"Avianca","Calgary International Airport","YYZ","2023-06-05 18:20",36,14,"Domestic"
"Air Canada","Frankfurt Airport","YYZ","2023-06-05 18:20",6,179,"International"
"Air Canada","Seattle-Tacoma International Airport","YYZ","2023-06-05 18:25",3,179,"International"
"United Airlines","Baltimore-Washington International Airport","YYZ","2023-06-05 18:25",5,83,"International"
"Avianca","Halifax Stanfield International Airport","YYZ","2023-06-05 18:25",21,14,"Domestic"
"Virgin Atlantic","Paris Charles de Gaulle Airport","YYZ","2023-06-05 18:25",5,5,"International"
"Air Canada","Sacramento International Airport","YYZ","2023-06-05 18:25",1,179,"International"
"Lynx Air","Winnipeg J. A. Richardson International Airport","YYZ","2023-06-05 18:25",25,8,"Domestic"
"Jazz Aviation","Newark Liberty International Airport","YYZ","2023-06-05 18:30",27,41,"International"
"Air Canada rouge","Jean Lesage International Airport","YYZ","2023-06-05 18:30",9,33,"Domestic"
"Westjet","Edmonton International Airport","YYZ","2023-06-05 18:30",27,50,"Domestic"
"United Airlines","George Bush Intercontinental Airport","YYZ","2023-06-05 18:30",6,83,"International"
"Jazz Aviation","Chicago O'Hare International Airport","YYZ","2023-06-05 18:30",26,41,"International"
"Aer Lingus","Montreal-Pierre Elliott Trudeau International Airport","YYZ","2023-06-05 18:30",39,6,"Domestic"
"United Airlines","Los Angeles International Airport","YYZ","2023-06-05 18:30",9,83,"International"
"Air Canada","London Heathrow Airport","YYZ","2023-06-05 18:35",6,179,"International"
"Air Canada","Cincinnati/Northern Kentucky International Airport","YYZ","2023-06-05 18:45",4,179,"International"
