"airline_name","airport_name","dep_iata","dep_time","top_airports","top_airlines","destination"
NA,"Guadalajara International Airport","LAX","2023-06-06 17:11",14,23,"International"
"All Nippon Airways","Tokyo International Airport","LAX","2023-06-06 17:15",13,3,"International"
"Virgin Atlantic","London Heathrow Airport","LAX","2023-06-06 17:55",21,8,"International"
"Hawaiian Airlines","Daniel K. Inouye International Airport","LAX","2023-06-06 18:00",13,12,"Domestic"
"American Airlines","London Heathrow Airport","LAX","2023-06-06 18:13",21,38,"International"
"American Airlines","San Antonio International Airport","LAX","2023-06-06 18:15",5,38,"Domestic"
"Air France","Paris Charles de Gaulle Airport","LAX","2023-06-06 18:20",10,13,"International"
"Pakistan International Airlines","Istanbul Airport","LAX","2023-06-06 18:35",5,1,"International"
"Aeromexico","Benito Juarez International Airport","LAX","2023-06-06 19:02",13,17,"International"
NA,"Guadalajara International Airport","LAX","2023-06-06 19:11",14,23,"International"
"United Airlines","Zurich Airport","LAX","2023-06-06 19:25",2,6,"International"
"Aeromexico","Seattle-Tacoma International Airport","LAX","2023-06-06 19:45",2,17,"Domestic"
"British Airways","Dublin Airport","LAX","2023-06-06 20:15",2,8,"International"
NA,"Daniel K. Inouye International Airport","LAX","2023-06-06 20:30",13,5,"Domestic"
NA,"Guadalajara International Airport","LAX","2023-06-06 20:30",14,23,"International"
"Avianca","El Dorado International Airport","LAX","2023-06-06 20:45",2,6,"International"
"American Airlines","London Heathrow Airport","LAX","2023-06-06 20:55",21,38,"International"
"Air France","London Heathrow Airport","LAX","2023-06-06 20:25",21,13,"International"
"Delta Air Lines","Jorge Chavez International Airport","LAX","2023-06-06 21:10",3,17,"International"
"American Airlines","Brisbane Airport","LAX","2023-06-06 21:20",2,38,"International"
"Air Canada","Auckland International Airport","LAX","2023-06-06 22:00",2,5,"International"
"LOT - Polish Airlines","Warsaw Chopin Airport","LAX","2023-06-06 22:05",3,3,"International"
"EVA Airways","Tocumen International Airport","LAX","2023-06-06 22:06",6,8,"International"
"American Airlines","Melbourne Airport","LAX","2023-06-06 22:20",2,38,"International"
"Delta Air Lines","McCarran International Airport","LAX","2023-06-06 22:40",3,17,"Domestic"
"Air France","London Heathrow Airport","LAX","2023-06-06 22:50",21,13,"International"
"American Airlines","Sydney International Airport","LAX","2023-06-06 22:54",4,38,"International"
"Copa Airlines","Incheon International Airport","LAX","2023-06-06 23:00",14,5,"International"
"Aeromexico","Incheon International Airport","LAX","2023-06-06 23:30",14,17,"International"
"American Airlines","Sydney International Airport","LAX","2023-06-06 23:40",4,38,"International"
"Philippine Airlines","Ninoy Aquino International Airport","LAX","2023-06-06 23:40",5,5,"International"
"Singapore Airlines","Singapore Changi Airport","LAX","2023-06-06 23:40",2,7,"International"
"Air France","Fa'a'a International Airport","LAX","2023-06-06 23:50",4,13,"International"
"Air China","Shenzhen Bao'an International Airport","LAX","2023-06-06 23:50",1,1,"International"
"American Airlines","Nadi International Airport","LAX","2023-06-06 23:55",2,38,"International"
"American Airlines","Fa'a'a International Airport","LAX","2023-06-06 23:55",4,38,"International"
"Air Canada","Aeropuerto Internacional El Salvador","LAX","2023-06-07 00:05",6,5,"International"
"China Airlines","Taiwan Taoyuan International Airport","LAX","2023-06-07 00:05",11,5,"International"
"Avianca","Taiwan Taoyuan International Airport","LAX","2023-06-07 00:15",11,6,"International"
"Xiamen Airlines","Xiamen Gaoqi International Airport","LAX","2023-06-07 00:15",1,1,"International"
NA,"Benito Juarez International Airport","LAX","2023-06-07 00:17",13,23,"International"
NA,"Guadalajara International Airport","LAX","2023-06-07 00:43",14,23,"International"
"EVA Airways","Taiwan Taoyuan International Airport","LAX","2023-06-07 00:50",11,8,"International"
NA,"Guadalajara International Airport","LAX","2023-06-07 01:10",14,23,"International"
"Turkish Airlines","Aeropuerto Internacional El Salvador","LAX","2023-06-07 01:00",6,4,"International"
"Malaysia Airlines","Hong Kong International Airport","LAX","2023-06-07 01:15",3,5,"International"
"United Airlines","Tocumen International Airport","LAX","2023-06-07 01:20",6,6,"International"
"United Airlines","Tokyo International Airport","LAX","2023-06-07 01:20",13,6,"International"
"Air Tahiti Nui","Charlotte Douglas International Airport","LAX","2023-06-07 06:00",3,7,"Domestic"
NA,"Daniel K. Inouye International Airport","LAX","2023-06-07 07:00",13,5,"Domestic"
"Korean Air","Benito Juarez International Airport","LAX","2023-06-07 07:00",13,7,"International"
"American Airlines","Phoenix Sky Harbor International Airport","LAX","2023-06-07 07:17",4,38,"Domestic"
"British Airways","Chicago O'Hare International Airport","LAX","2023-06-07 07:45",5,8,"Domestic"
"Hawaiian Airlines","Kahului Airport","LAX","2023-06-07 08:15",3,12,"Domestic"
"American Airlines","Raleigh-Durham International Airport","LAX","2023-06-07 09:00",4,38,"Domestic"
NA,"Guadalajara International Airport","LAX","2023-06-07 09:20",14,23,"International"
"American Airlines","Licenciado Gustavo Diaz Ordaz International Airport","LAX","2023-06-07 09:25",3,38,"International"
"Delta Air Lines","Licenciado Gustavo Diaz Ordaz International Airport","LAX","2023-06-07 10:00",3,17,"International"
NA,"Daniel K. Inouye International Airport","LAX","2023-06-07 10:00",13,5,"Domestic"
NA,"General Leobardo C. Ruiz International Airport","LAX","2023-06-07 10:23",2,23,"International"
"Alaska Airlines","Tokyo International Airport","LAX","2023-06-07 10:28",13,6,"International"
"Air Premia","Incheon International Airport","LAX","2023-06-07 10:50",14,3,"International"
"Hawaiian Airlines","Kona International Airport","LAX","2023-06-07 11:00",3,12,"Domestic"
"Qantas Airways","Chicago O'Hare International Airport","LAX","2023-06-07 11:20",5,3,"Domestic"
"Aeromexico","Ben Gurion International Airport","LAX","2023-06-07 11:30",3,17,"International"
"EL AL","Benito Juarez International Airport","LAX","2023-06-07 11:52",13,3,"International"
"Copa Airlines","Incheon International Airport","LAX","2023-06-07 12:10",14,5,"International"
"EVA Airways","Taiwan Taoyuan International Airport","LAX","2023-06-07 12:15",11,8,"International"
"LATAM Airlines Chile","Incheon International Airport","LAX","2023-06-07 12:30",14,7,"International"
"Virgin Atlantic","Salt Lake City International Airport","LAX","2023-06-07 07:15",3,8,"Domestic"
"Allegiant Air","Wichita Mid-Continent Airport","LAX","2023-06-07 09:00",1,4,"Domestic"
"Hawaiian Airlines","Lihue Airport","LAX","2023-06-07 09:15",3,12,"Domestic"
"Vietnam Airlines","Tokyo International Airport","LAX","2023-06-07 10:20",13,1,"International"
"United Airlines","Narita International Airport","LAX","2023-06-07 12:45",9,6,"International"
"LATAM Airlines Chile","Jorge Chavez International Airport","LAX","2023-06-07 12:50",3,7,"International"
"Philippine Airlines","Ninoy Aquino International Airport","LAX","2023-06-07 12:50",5,5,"International"
NA,"Benito Juarez International Airport","LAX","2023-06-07 12:57",13,23,"International"
"Alaska Airlines","Narita International Airport","LAX","2023-06-07 13:05",9,6,"International"
"American Airlines","Hong Kong International Airport","LAX","2023-06-07 13:15",3,38,"International"
"Malaysia Airlines","Tokyo International Airport","LAX","2023-06-07 13:30",13,5,"International"
NA,"Oaxaca - Xoxocotlan International Airport","LAX","2023-06-07 13:30",2,23,"International"
"Alaska Airlines","Paris Charles de Gaulle Airport","LAX","2023-06-07 13:30",10,6,"International"
"EVA Airways","Aeropuerto Internacional El Salvador","LAX","2023-06-07 13:50",6,8,"International"
"SAS","Copenhagen Airport","LAX","2023-06-07 13:50",3,3,"International"
"Delta Air Lines","Amsterdam Airport Schiphol","LAX","2023-06-07 13:55",5,17,"International"
"Turkish Airlines","Istanbul Airport","LAX","2023-06-07 13:55",5,4,"International"
"Singapore Airlines","Narita International Airport","LAX","2023-06-07 14:20",9,7,"International"
"Malaysia Airlines","Kansai International Airport","LAX","2023-06-07 14:25",2,5,"International"
"Singapore Airlines","Daniel K. Inouye International Airport","LAX","2023-06-07 06:30",13,7,"Domestic"
"Qantas Airways","Phoenix Sky Harbor International Airport","LAX","2023-06-07 09:24",4,3,"Domestic"
"Virgin Atlantic","Portland International Airport","LAX","2023-06-07 09:35",1,8,"Domestic"
"Korean Air","Benito Juarez International Airport","LAX","2023-06-07 14:30",13,7,"International"
