"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","delayed","duration"
"AC","ACA","AC8357","ACA8357","8357","YYZ","CYYZ","1","2023-06-08 14:15","YQG","CYQG",NA,64
"AC","ACA","AC8753","ACA8753","8753","YYZ","CYYZ","1","2023-06-08 14:15","CMH","KCMH",NA,78
"AC","ACA","AC8682","ACA8682","8682","YYZ","CYYZ","1","2023-06-08 14:15","BWI","KBWI",NA,83
"EK","UAE","EK5761","UAE5761","5761","YYZ","CYYZ","1","2023-06-08 14:25","YQR","CYQR",NA,199
"AC","ACA","AC1542","ACA1542","1542","YYZ","CYYZ","1","2023-06-08 14:25","YYG","CYYG",NA,122
"AF","AFR","AF6880","AFR6880","6880","YYZ","CYYZ","3","2023-06-08 14:30","JFK","KJFK",NA,111
"AC","ACA","AC714","ACA714","714","YYZ","CYYZ","1","2023-06-08 14:30","LGA","KLGA",NA,92
"DL","DAL","DL7154","DAL7154","7154","YYZ","CYYZ","3","2023-06-08 14:30","YWG","CYWG",NA,155
"EK","UAE","EK242","UAE242","242","YYZ","CYYZ","1","2023-06-08 14:30","DXB","OMDB",NA,765
"AC","ACA","AC8431","ACA8431","8431","YYZ","CYYZ","1","2023-06-08 14:30","YTS","CYTS",NA,87
"AC","ACA","AC1526","ACA1526","1526","YYZ","CYYZ","1","2023-06-08 14:35","YFC","CYFC",NA,105
"LH","DLH","LH6613","DLH6613","6613","YYZ","CYYZ","1","2023-06-08 14:40","YYC","CYYC",NA,258
"CM","CMP","CM2807","CMP2807","2807","YYZ","CYYZ","1","2023-06-08 14:45","IAD","KIAD",NA,91
"UA","UAL","UA3651","UAL3651","3651","YYZ","CYYZ","1","2023-06-08 14:45","EWR","KEWR",NA,105
"AC","ACA","AC171","ACA171","171","YYZ","CYYZ","1","2023-06-08 14:50","YEG","CYEG",NA,255
"AC","ACA","AC265","ACA265","265","YYZ","CYYZ","1","2023-06-08 14:50","YWG","CYWG",NA,160
"WS","WJA","WS6425","WJA6425","6425","YYZ","CYYZ","3","2023-06-08 14:50","LGA","KLGA",NA,98
"TS","TSC","TS3928","TSC3928","3928","YYZ","CYYZ","3","2023-06-08 14:55","MCO","KMCO",NA,175
"AC","ACA","AC416","ACA416","416","YYZ","CYYZ","1","2023-06-08 15:00","YUL","CYUL",NA,77
"NH","ANA","NH7383","ANA7383","7383","YYZ","CYYZ","1","2023-06-08 15:00","ORD","KORD",NA,115
"QK","JZA","QK8696","JZA8696","8696","YYZ","CYYZ","1","2023-06-08 14:50","BOS","KBOS",NA,96
"DL","DAL","DL6987","DAL6987","6987","YYZ","CYYZ","3","2023-06-08 15:00","YVR","CYVR",NA,307
"DL","DAL","DL7095","DAL7095","7095","YYZ","CYYZ","3","2023-06-08 15:00","YYC","CYYC",NA,254
"AC","ACA","AC456","ACA456","456","YYZ","CYYZ","1","2023-06-08 15:10","YOW","CYOW",NA,63
"ZW","AWI","ZW6226","AWI6226","6226","YYZ","CYYZ","3","2023-06-08 15:14","ORD","KORD",NA,113
"EK","UAE","EK5759","UAE5759","5759","YYZ","CYYZ","1","2023-06-08 15:15","YQM","CYQM",NA,112
"WG","SWG","WG762","SWG762","762","YYZ","CYYZ","3","2023-06-08 15:15","SXM","TNCM",NA,285
NA,"HRT",NA,"HRT881","881","YYZ","CYYZ",NA,"2023-06-08 15:15","TEB","KTEB",NA,NA
"WO","WSW","WO638","WSW638","638","YYZ","CYYZ","3","2023-06-08 15:20","CUN","MMUN",NA,255
"WS","WJA","WS592","WJA592","592","YYZ","CYYZ","3","2023-06-08 15:25","YUL","CYUL",NA,70
"BA","BAW","BA1746","BAW1746","1746","YYZ","CYYZ","3","2023-06-08 15:29","LGA","KLGA",NA,92
"EK","UAE","EK4675","UAE4675","4675","YYZ","CYYZ","3","2023-06-08 15:30","YHZ","CYHZ",NA,125
"MS","MSR","MS996","MSR996","996","YYZ","CYYZ","1","2023-06-08 15:30","CAI","HECA",NA,610
"Y9","DAT","Y9510","DAT510","510","YYZ","CYYZ","1","2023-06-08 15:30","YYC","CYYC",NA,269
"AA","AAL","AA6112","AAL6112","6112","YYZ","CYYZ","3","2023-06-08 15:35","PHL","KPHL",NA,93
"YX","RPA","YX3705","RPA3705","3705","YYZ","CYYZ","1","2023-06-08 15:45","EWR","KEWR",NA,103
"WS","WJA","WS1428","WJA1428","1428","YYZ","CYYZ","3","2023-06-08 15:45","BNA","KBNA",NA,118
"WG","SWG","WG571","SWG571","571","YYZ","CYYZ","3","2023-06-08 15:45","SJD","MMSD",NA,310
"RV","ROU","RV1952","ROU1952","1952","YYZ","CYYZ","1","2023-06-08 15:50","YQB","CYQB",NA,83
"EK","UAE","EK4679","UAE4679","4679","YYZ","CYYZ","3","2023-06-08 15:50","YOW","CYOW",NA,55
"UA","UAL","UA8190","UAL8190","8190","YYZ","CYYZ","1","2023-06-08 15:55","LAX","KLAX",NA,329
"UA","UAL","UA6231","UAL6231","6231","YYZ","CYYZ","1","2023-06-08 15:55","IAH","KIAH",NA,213
"OH","JIA","OH5140","JIA5140","5140","YYZ","CYYZ","3","2023-06-08 15:59","CLT","KCLT",NA,122
"QK","JZA","QK8994","JZA8994","8994","YYZ","CYYZ","1","2023-06-08 16:00","LGA","KLGA",NA,87
"UA","UAL","UA8685","UAL8685","8685","YYZ","CYYZ","1","2023-06-08 16:00","ORD","KORD",NA,110
"OS","AUA","OS8253","AUA8253","8253","YYZ","CYYZ","1","2023-06-08 16:00","YUL","CYUL",NA,77
"DL","DAL","DL7126","DAL7126","7126","YYZ","CYYZ","3","2023-06-08 16:00","MCO","KMCO",NA,169
"UA","UAL","UA6605","UAL6605","6605","YYZ","CYYZ","1","2023-06-08 16:05","STL","KSTL",NA,111
"AC","ACA","AC8259","ACA8259","8259","YYZ","CYYZ","1","2023-06-08 16:05","YXU","CYXU",NA,42
"UA","UAL","UA8345","UAL8345","8345","YYZ","CYYZ","1","2023-06-08 16:05","YQT","CYQT",NA,127
"MS","MSR","MS9632","MSR9632","9632","YYZ","CYYZ","1","2023-06-08 16:10","YOW","CYOW",NA,63
"TP","TAP","TP8252","TAP8252","8252","YYZ","CYYZ","1","2023-06-08 16:10","YYC","CYYC",NA,258
"TP","TAP","TP8010","TAP8010","8010","YYZ","CYYZ","1","2023-06-08 16:10","YHZ","CYHZ",NA,121
"UA","UAL","UA8281","UAL8281","8281","YYZ","CYYZ","1","2023-06-08 16:10","TLV","LLBG",NA,655
"TP","TAP","TP8046","TAP8046","8046","YYZ","CYYZ","1","2023-06-08 16:15","YVR","CYVR",NA,311
"UA","UAL","UA568","UAL568","568","YYZ","CYYZ","1","2023-06-08 16:18","DEN","KDEN",NA,221
"RV","ROU","RV1674","ROU1674","1674","YYZ","CYYZ","1","2023-06-08 16:25","MCO","KMCO",NA,165
"VS","VIR","VS8096","VIR8096","8096","YYZ","CYYZ","3","2023-06-08 16:30","YYC","CYYC",NA,240
"AC","ACA","AC8880","ACA8880","8880","YYZ","CYYZ","1","2023-06-08 16:30","EWR","KEWR",NA,90
"AC","ACA","AC8955","ACA8955","8955","YYZ","CYYZ","1","2023-06-08 16:30","ATL","KATL",NA,130
"AC","ACA","AC8782","ACA8782","8782","YYZ","CYYZ","1","2023-06-08 16:30","DCA","KDCA",NA,91
"OS","AUA","OS8317","AUA8317","8317","YYZ","CYYZ","1","2023-06-08 16:30","SFO","KSFO",NA,338
NA,"PEG",NA,"PEG88","88","YYZ","CYYZ",NA,"2023-06-08 16:30","IAD","KIAD",NA,NA
"QK","JZA","QK7739","JZA7739","7739","YYZ","CYYZ","1","2023-06-08 16:30","YYB","CYYB",NA,57
"AC","ACA","AC420","ACA420","420","YYZ","CYYZ","1","2023-06-08 16:30","YUL","CYUL",105,77
