"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","delayed","duration"
"AM","AMX","AM5816","AMX5816","5816","LHR","EGLL","4","2023-06-07 11:30","CDG","LFPG",NA,80
"UL","ALK","UL2851","ALK2851","2851","LHR","EGLL","2","2023-06-07 10:15","YYC","CYYC",75,530
"AA","AAL","AA8603","AAL8603","8603","LHR","EGLL","5","2023-06-07 11:30","MAD","LEMD",NA,150
"LH","DLH","LH905","DLH905","905","LHR","EGLL","2","2023-06-07 11:30","FRA","EDDF",NA,95
"IB","IBE","IB7503","IBE7503","7503","LHR","EGLL","5","2023-06-07 11:35","ARN","ESSA",NA,155
"BA","BAW","BA528","BAW528","528","LHR","EGLL","5","2023-06-07 11:35","LIS","LPPT",NA,165
"JL","JAL","JL7101","JAL7101","7101","LHR","EGLL","5","2023-06-07 11:40","AMS","EHAM",NA,85
"AA","AAL","AA6934","AAL6934","6934","LHR","EGLL","5","2023-06-07 11:40","JFK","KJFK",NA,465
"UA","UAL","UA230","UAL230","230","LHR","EGLL","2","2023-06-07 11:25","LAX","KLAX",15,665
"AA","AAL","AA6992","AAL6992","6992","LHR","EGLL","5","2023-06-07 11:40","LAX","KLAX",NA,675
"MF","CXA","MF9306","CXA9306","9306","LHR","EGLL","4","2023-06-07 11:45","AMS","EHAM",NA,80
"KU","KAC","KU104","KAC104","104","LHR","EGLL","4","2023-06-07 11:45","KWI","OKBK",NA,355
"AA","AAL","AA6865","AAL6865","6865","LHR","EGLL","5","2023-06-07 11:50","GVA","LSGG",NA,100
"AY","FIN","AY5409","FIN5409","5409","LHR","EGLL","5","2023-06-07 11:50","AUS","KAUS",NA,605
"DL","DAL","DL5971","DAL5971","5971","LHR","EGLL","3","2023-06-07 11:50","MCO","KMCO",NA,590
"AA","AAL","AA6678","AAL6678","6678","LHR","EGLL","5","2023-06-07 11:55","MXP","LIMC",NA,125
"DL","DAL","DL31","DAL31","31","LHR","EGLL","3","2023-06-07 11:45","ATL","KATL",NA,565
"AA","AAL","AA6648","AAL6648","6648","LHR","EGLL","5","2023-06-07 11:55","ZRH","LSZH",NA,105
"B6","JBU","B620","JBU20","20","LHR","EGLL","2","2023-06-07 11:55","JFK","KJFK",NA,499
"QF","QFA","QF10","QFA10","10","LHR","EGLL","3","2023-06-07 11:55","PER","YPPH",NA,1005
"AC","ACA","AC6909","ACA6909","6909","LHR","EGLL","2","2023-06-07 12:00","DUB","EIDW",NA,85
