"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","duration"
"MH","MAS","MH9686","MAS9686",9686,"LHR","EGLL","5","2023-06-05 21:00","ABZ","EGPD",90
"BA","BAW","BA826","BAW826",826,"LHR","EGLL","5","2023-06-05 21:00","DUB","EIDW",80
"ET","ETH","ET701","ETH701",701,"LHR","EGLL","2","2023-06-05 21:00","ADD","HAAB",465
"KQ","KQA","KQ4078","KQA4078",4078,"LHR","EGLL","5","2023-06-05 21:05","GLA","EGPF",80
"BA","BAW","BA15","BAW15",15,"LHR","EGLL","5","2023-06-05 21:10","SIN","WSSS",815
"EI","EIN","EI183","EIN183",183,"LHR","EGLL","2","2023-06-05 21:10","DUB","EIDW",80
"WB","RWD","WB711","RWD711",711,"LHR","EGLL","3","2023-06-05 21:20","KGL","HRYR",520
"IB","IBE","IB7393","IBE7393",7393,"LHR","EGLL","5","2023-06-05 21:20","BOM","VABB",560
"MU","CES","MU552","CES552",552,"LHR","EGLL","4","2023-06-05 21:20","PVG","ZSPD",680
"KE","KAL","KE7969","KAL7969",7969,"LHR","EGLL","3","2023-06-05 21:25","GRU","SBGR",695
"JL","JAL","JL7125","JAL7125",7125,"LHR","EGLL","3","2023-06-05 21:25","BUD","LHBP",150
"TG","THA","TG917","THA917",917,"LHR","EGLL","2","2023-06-05 21:25","BKK","VTBS",695
"AA","AAL","AA6753","AAL6753",6753,"LHR","EGLL","5","2023-06-05 21:25","JNB","FAOR",650
"FI","ICE","FI455","ICE455",455,"LHR","EGLL","2","2023-06-05 21:25","KEF","BIKF",195
"IB","IBE","IB7349","IBE7349",7349,"LHR","EGLL","5","2023-06-05 21:30","DXB","OMDB",420
"UL","ALK","UL504","ALK504",504,"LHR","EGLL","3","2023-06-05 21:30","CMB","VCBI",645
"AA","AAL","AA6439","AAL6439",6439,"LHR","EGLL","5","2023-06-05 21:30","MAN","EGCC",65
"AI","AIC","AI130","AIC130",130,"LHR","EGLL","2","2023-06-05 21:30","BOM","VABB",530
"SQ","SIA","SQ5651","SIA5651",5651,"LHR","EGLL","4","2023-06-05 21:35","KUL","WMKK",795
"TG","THA","TG6383","THA6383",6383,"LHR","EGLL","2","2023-06-05 21:35","BKK","VTBS",690
"BA","BAW","BA1440","BAW1440",1440,"LHR","EGLL","5","2023-06-05 21:45","EDI","EGPH",80
"BA","BAW","BA7014","BAW7014",7014,"LHR","EGLL","4","2023-06-05 21:55","DOH","OTHH",405
"QR","QTR","QR9704","QTR9704",9704,"LHR","EGLL","5","2023-06-05 21:55","GLA","EGPF",80
"BA","BAW","BA251","BAW251",251,"LHR","EGLL","5","2023-06-05 21:55","SCL","SCEL",875
"AC","ACA","AC6676","ACA6676",6676,"LHR","EGLL","4","2023-06-05 21:55","AUH","OMAA",410
"UK","VTI","UK16","VTI16",16,"LHR","EGLL","3","2023-06-05 21:55","BOM","VABB",515
"VS","VIR","VS8204","VIR8204",8204,"LHR","EGLL","3","2023-06-05 22:00","BEY","OLBA",285
"CI","CAL","CI82","CAL82",82,"LHR","EGLL","3","2023-06-05 22:00","TPE","RCTP",810
"GS","GCR","GS7988","GCR7988",7988,"LHR","EGLL","3","2023-06-05 22:00","XIY","ZLXY",625
"HU","CHH","HU422","CHH422",422,"LHR","EGLL","3","2023-06-05 22:00","CSX","ZGHA",650
"MH","MAS","MH5765","MAS5765",5765,"LHR","EGLL","2","2023-06-05 22:05","SIN","WSSS",785
"GF","GFA","GF6","GFA6",6,"LHR","EGLL","4","2023-06-05 22:05","BAH","OBBI",375
"EY","ETD","EY2601","ETD2601",2601,"LHR","EGLL","2","2023-06-05 22:05","BOG","SKBO",640
"ZH","CSZ","ZH9068","CSZ9068",9068,"LHR","EGLL","2","2023-06-05 22:05","SZX","ZGSZ",760
"MS","MSR","MS780","MSR780",780,"LHR","EGLL","2","2023-06-05 22:10","CAI","HECA",280
"AM","AMX","AM7698","AMX7698",7698,"LHR","EGLL","3","2023-06-05 22:10","TLV","LLBG",295
"AC","ACA","AC6702","ACA6702",6702,"LHR","EGLL","2","2023-06-05 22:10","IST","LTFM",225
"CZ","CSN","CZ304","CSN304",304,"LHR","EGLL","4","2023-06-05 22:10","CAN","ZGGG",715
"AC","ACA","AC6040","ACA6040",6040,"LHR","EGLL","2","2023-06-05 22:15","ATH","LGAV",215
"GA","GIA","GA8842","GIA8842",8842,"LHR","EGLL","3","2023-06-05 22:15","DXB","OMDB",410
"IB","IBE","IB7370","IBE7370",7370,"LHR","EGLL","5","2023-06-05 22:20","KWI","OKBK",375
"IB","IBE","IB7421","IBE7421",7421,"LHR","EGLL","5","2023-06-05 22:20","GRU","SBGR",700
"LY","ELY","LY318","ELY318",318,"LHR","EGLL","4","2023-06-05 22:20","TLV","LLBG",295
"UK","VTI","UK18","VTI18",18,"LHR","EGLL","3","2023-06-05 22:20","DEL","VIDP",485
"AA","AAL","AA6791","AAL6791",6791,"LHR","EGLL","5","2023-06-05 22:25","CPT","FACT",700
"AA","AAL","AA8073","AAL8073",8073,"LHR","EGLL","2","2023-06-05 22:25","ORK","EICK",80
"BA","BAW","BA83","BAW83",83,"LHR","EGLL","5","2023-06-05 22:25","ABV","DNAA",370
"BA","BAW","BA105","BAW105",105,"LHR","EGLL","5","2023-06-05 22:25","DXB","OMDB",420
"VS","VIR","VS411","VIR411",411,"LHR","EGLL","3","2023-06-05 22:30","LOS","DNMM",395
"JD","CBJ","JD432","CBJ432",432,"LHR","EGLL","3","2023-06-05 22:30","TAO","ZSQD",675
"AM","AMX","AM8","AMX8",8,"LHR","EGLL","3","2023-06-05 22:30","MEX","MMMX",685
"VS","VIR","VS449","VIR449",449,"LHR","EGLL","3","2023-06-05 22:30","JNB","FAOR",655
"CA","CCA","CA856","CCA856",856,"LHR","EGLL","2","2023-06-05 22:40","PEK","ZBAA",585
