"airline_name","airport_name","dep_iata","dep_time","top_airports","top_airlines","destination"
"Air Transat","Ottawa Macdonald-Cartier International Airport","YYZ","2023-08-08 13:05",11,11,"Domestic"
"Air Transat","Halifax Stanfield International Airport","YYZ","2023-08-08 13:10",8,11,"Domestic"
"Egyptair","Winnipeg J. A. Richardson International Airport","YYZ","2023-08-08 13:10",12,9,"Domestic"
"Air Transat","Edmonton International Airport","YYZ","2023-08-08 13:15",12,11,"Domestic"
"Jetlines","Cancun International Airport","YYZ","2023-08-08 13:15",5,1,"International"
"United Airlines","Cleveland Hopkins International Airport","YYZ","2023-08-08 13:20",2,31,"International"
"British Airways","Chicago O'Hare International Airport","YYZ","2023-08-08 13:20",11,3,"International"
"Austrian","Ottawa Macdonald-Cartier International Airport","YYZ","2023-08-08 13:10",11,9,"Domestic"
"All Nippon Airways","Tokyo International Airport","YYZ","2023-08-08 13:25",1,1,"International"
"American Airlines","Dallas/Fort Worth International Airport","YYZ","2023-08-08 13:29",3,5,"International"
"Air Canada","La Guardia Airport","YYZ","2023-08-08 13:30",17,81,"International"
"Virgin Atlantic","Calgary International Airport","YYZ","2023-08-08 13:35",19,1,"Domestic"
"Flair Airlines","Winnipeg J. A. Richardson International Airport","YYZ","2023-08-08 13:35",12,8,"Domestic"
"Flair Airlines","Victoria International Airport","YYZ","2023-08-08 13:40",2,8,"Domestic"
"Flair Airlines","Halifax Stanfield International Airport","YYZ","2023-08-08 13:40",8,8,"Domestic"
"Flair Airlines","Abbotsford Airport","YYZ","2023-08-08 13:40",2,8,"Domestic"
"Lynx Air","Calgary International Airport","YYZ","2023-08-08 13:40",19,4,"Domestic"
"Emirates","Saskatoon John G. Diefenbaker International Airport","YYZ","2023-08-08 13:50",2,7,"Domestic"
"Korean Air","St. John's International Airport","YYZ","2023-08-08 13:55",4,4,"Domestic"
"Air Canada rouge","Cancun International Airport","YYZ","2023-08-08 13:55",5,13,"International"
"Jazz Aviation","Thunder Bay International Airport","YYZ","2023-08-08 13:55",3,30,"Domestic"
"Air Canada","Saint John Airport","YYZ","2023-08-08 13:55",3,81,"Domestic"
"Air Transat","Montreal-Pierre Elliott Trudeau International Airport","YYZ","2023-08-08 13:55",13,11,"Domestic"
"Air Canada","Sudbury Airport","YYZ","2023-08-08 14:00",2,81,"Domestic"
"Jazz Aviation","Indianapolis International Airport","YYZ","2023-08-08 14:00",1,30,"International"
"Jazz Aviation","Newark Liberty International Airport","YYZ","2023-08-08 14:00",13,30,"International"
"Jazz Aviation","Kansas City International Airport","YYZ","2023-08-08 14:00",1,30,"International"
"Air Canada","Halifax Stanfield International Airport","YYZ","2023-08-08 14:00",8,81,"Domestic"
"Jazz Aviation","Philadelphia International Airport","YYZ","2023-08-08 14:00",6,30,"International"
"Jazz Aviation","Chicago O'Hare International Airport","YYZ","2023-08-08 14:00",11,30,"International"
"Air Canada","Incheon International Airport","YYZ","2023-08-08 14:00",2,81,"International"
"Austrian","Vancouver International Airport","YYZ","2023-08-08 14:00",16,9,"Domestic"
"Jazz Aviation","Minneapolis-St Paul International Airport","YYZ","2023-08-08 14:00",5,30,"International"
"Austrian","Montreal-Pierre Elliott Trudeau International Airport","YYZ","2023-08-08 14:00",13,9,"Domestic"
"Air Canada","Regina International Airport","YYZ","2023-08-08 14:00",3,81,"Domestic"
"Turkish Airlines","Detroit Metropolitan Wayne County Airport","YYZ","2023-08-08 14:05",4,1,"International"
"United Airlines","John Glenn Columbus International Airport","YYZ","2023-08-08 14:15",2,31,"International"
"Emirates","Windsor Airport","YYZ","2023-08-08 14:15",2,7,"Domestic"
