"airline_name","airport_name","dep_iata","dep_time","top_airports","top_airlines","destination"
"Air France","Hartsfield-Jackson Atlanta International Airport","LHR","2023-06-08 10:50",24,67,"International"
"Aer Lingus","Dublin Airport","LHR","2023-06-08 10:40",107,110,"International"
"British Airways","Helsinki-Vantaa Airport","LHR","2023-06-08 10:20",25,773,"International"
"Delta Air Lines","Detroit Metropolitan Wayne County Airport","LHR","2023-06-08 10:55",11,73,"International"
"Iberia","Adolfo Suarez Madrid-Barajas Airport","LHR","2023-06-08 10:50",79,197,"International"
"American Airlines","Istanbul Airport","LHR","2023-06-08 10:35",56,717,"International"
"Qatar Airways","Chicago O'Hare International Airport","LHR","2023-06-08 11:00",49,185,"International"
"Qatar Airways","Gibraltar International Airport","LHR","2023-06-08 10:40",8,185,"International"
"Lufthansa Cargo","Denver International Airport","LHR","2023-06-08 11:05",17,107,"International"
"Lufthansa","Denver International Airport","LHR","2023-06-08 11:05",17,107,"International"
"Qatar Airways","Frankfurt Airport","LHR","2023-06-08 11:00",93,185,"International"
"Malaysia Airlines","Kuala Lumpur International Airport","LHR","2023-06-08 11:00",12,75,"International"
"American Airlines","San Francisco International Airport","LHR","2023-06-08 11:10",43,717,"International"
"United Airlines","Munich International Airport","LHR","2023-06-08 10:50",77,98,"International"
"American Airlines","Copenhagen Airport","LHR","2023-06-08 10:10",60,717,"International"
"Qantas Airways","Berlin Brandenburg Airport","LHR","2023-06-08 11:05",34,35,"International"
"British Airways","Ireland West Airport Knock","LHR","2023-06-08 11:05",6,773,"International"
"American Airlines","Edinburgh Airport","LHR","2023-06-08 10:30",73,717,"Domestic"
"British Airways","Kalamata Airport","LHR","2023-06-08 11:10",1,773,"International"
"Japan Airlines","Barcelona-El Prat Airport","LHR","2023-06-08 11:00",47,108,"International"
"EL AL","Los Angeles International Airport","LHR","2023-06-08 11:15",74,22,"International"
"Qatar Airways","Hamburg Airport","LHR","2023-06-08 11:10",41,185,"International"
"Malaysia Airlines","Paris Charles de Gaulle Airport","LHR","2023-06-08 11:05",72,75,"International"
"American Airlines","Eleftherios Venizelos International Airport","LHR","2023-06-08 11:15",50,717,"International"
"SriLankan Airlines","Calgary International Airport","LHR","2023-06-08 10:15",11,17,"International"
"British Airways","Newark Liberty International Airport","LHR","2023-06-08 11:00",54,773,"International"
"Air Malta","Malta International Airport","LHR","2023-06-08 10:50",13,13,"International"
"Singapore Airlines","Brussels Airport","LHR","2023-06-08 11:05",37,57,"International"
"Virgin Atlantic","Grantley Adams International Airport","LHR","2023-06-08 11:15",10,111,"International"
"American Airlines","Marseille Provence Airport","LHR","2023-06-08 11:10",19,717,"International"
"American Airlines","Lisbon Humberto Delgado Airport","LHR","2023-06-08 11:20",65,717,"International"
"British Airways","Grantley Adams International Airport","LHR","2023-06-08 11:30",10,773,"International"
"British Airways","Murtala Muhammed International Airport","LHR","2023-06-08 11:20",12,773,"International"
"SAS","Singapore Changi Airport","LHR","2023-06-08 11:25",46,54,"International"
"Turkish Airlines","Istanbul Airport","LHR","2023-06-08 11:25",56,10,"International"
"Lufthansa Cargo","Los Angeles International Airport","LHR","2023-06-08 11:25",74,107,"International"
"Lufthansa","Los Angeles International Airport","LHR","2023-06-08 11:25",74,107,"International"
"British Airways","Chania International Airport","LHR","2023-06-08 11:30",3,773,"International"
"Lufthansa Cargo","Frankfurt Airport","LHR","2023-06-08 11:30",93,107,"International"
"Lufthansa","Frankfurt Airport","LHR","2023-06-08 11:30",93,107,"International"
"American Airlines","Los Angeles International Airport","LHR","2023-06-08 11:40",74,717,"International"
"American Airlines","Split Airport","LHR","2023-06-08 11:35",8,717,"International"
"Iberia","Adolfo Suarez Madrid-Barajas Airport","LHR","2023-06-08 11:30",79,197,"International"
"American Airlines","John F. Kennedy International Airport","LHR","2023-06-08 11:40",135,717,"International"
"Iberia","Edinburgh Airport","LHR","2023-06-08 11:35",73,197,"Domestic"
"Aeromexico","Paris Charles de Gaulle Airport","LHR","2023-06-08 11:30",72,30,"International"
"Malaysia Airlines","Aeroport Geneve-Cointrin","LHR","2023-06-08 11:35",70,75,"International"
"Iberia","Austin-Bergstrom International Airport","LHR","2023-06-08 11:50",10,197,"International"
"American Airlines","Amsterdam Airport Schiphol","LHR","2023-06-08 11:40",95,717,"International"
"Xiamen Airlines","Amsterdam Airport Schiphol","LHR","2023-06-08 11:45",95,12,"International"
"Air France","Hartsfield-Jackson Atlanta International Airport","LHR","2023-06-08 11:45",24,67,"International"
"British Airways","Ibiza Airport","LHR","2023-06-08 11:45",13,773,"International"
"American Airlines","Larnaca International Airport","LHR","2023-06-08 11:20",23,717,"International"
"Singapore Airlines","San Francisco International Airport","LHR","2023-06-08 11:50",43,57,"International"
"Japan Airlines","Malaga Airport","LHR","2023-06-08 12:00",12,108,"International"
"American Airlines","Larnaca International Airport","LHR","2023-06-08 11:55",23,717,"International"
"Qantas Airways","Perth Airport","LHR","2023-06-08 11:55",6,35,"International"
NA,"John F. Kennedy International Airport","LHR","2023-06-08 11:55",135,13,"International"
"EL AL","Dallas/Fort Worth International Airport","LHR","2023-06-08 12:00",27,22,"International"
"Brussels Airlines","Newark Liberty International Airport","LHR","2023-06-08 12:00",54,16,"International"
"Aer Lingus","Dublin Airport","LHR","2023-06-08 12:00",107,110,"International"
"United Airlines","Zurich Airport","LHR","2023-06-08 12:05",73,98,"International"
"British Airways","George Best Belfast City Airport","LHR","2023-06-08 12:05",42,773,"Domestic"
"British Airways","Jersey Airport","LHR","2023-06-08 12:05",29,773,"International"
"Delta Air Lines","Seattle-Tacoma International Airport","LHR","2023-06-08 12:10",26,73,"International"
"Qatar Airways","Nice Cote d'Azur International Airport","LHR","2023-06-08 12:10",48,185,"International"
"Delta Air Lines","Miami International Airport","LHR","2023-06-08 12:10",25,73,"International"
"British Airways","Tenerife South Airport","LHR","2023-06-08 12:10",3,773,"International"
"Austrian","Washington Dulles International Airport","LHR","2023-06-08 12:15",38,30,"International"
"Finnair","Charlotte Douglas International Airport","LHR","2023-06-08 12:15",18,146,"International"
"Qatar Airways","Chicago O'Hare International Airport","LHR","2023-06-08 12:15",49,185,"International"
"Aegean Airlines","Eleftherios Venizelos International Airport","LHR","2023-06-08 12:15",50,20,"International"
"Austrian","San Francisco International Airport","LHR","2023-06-08 12:20",43,30,"International"
"Cathay Pacific Airways","Hong Kong International Airport","LHR","2023-06-08 12:20",43,46,"International"
"United Airlines","Duesseldorf International Airport","LHR","2023-06-08 12:10",48,98,"International"
"British Airways","Leonardo da Vinci-Fiumicino Airport","LHR","2023-06-08 12:20",44,773,"International"
"China Southern Airlines","Shanghai Pudong International Airport","LHR","2023-06-08 12:25",19,18,"International"
"Iberia","Rio de Janeiro-Galeao International Airport","LHR","2023-06-08 12:25",3,197,"International"
"Kuwait Airways","Kuwait International Airport","LHR","2023-06-08 11:45",20,13,"International"
"Iberia","Miami International Airport","LHR","2023-06-08 12:30",25,197,"International"
"American Airlines","Edinburgh Airport","LHR","2023-06-08 12:30",73,717,"Domestic"
"Air Canada","Suvarnabhumi Airport","LHR","2023-06-08 12:30",20,183,"International"
"Saudi Arabian Airlines","King Khalid International","LHR","2023-06-08 12:30",25,27,"International"
"Aer Lingus","Washington Dulles International Airport","LHR","2023-06-08 12:35",38,110,"International"
"British Airways","Madeira Airport","LHR","2023-06-08 12:35",4,773,"International"
"British Airways","Venice Marco Polo Airport","LHR","2023-06-08 12:00",25,773,"International"
"United Airlines","Halifax Stanfield International Airport","LHR","2023-06-08 12:40",6,98,"International"
"Malaysia Airlines","Barcelona-El Prat Airport","LHR","2023-06-08 12:40",47,75,"International"
"American Airlines","Kotoka International Airport","LHR","2023-06-08 12:45",6,717,"International"
"American Airlines","Chennai International Airport","LHR","2023-06-08 12:45",6,717,"International"
"Virgin Atlantic","Sangster International Airport","LHR","2023-06-08 12:45",3,111,"International"
"Virgin Atlantic","Los Angeles International Airport","LHR","2023-06-08 12:45",74,111,"International"
"Ethiopian Airlines","Toronto Pearson International Airport","LHR","2023-06-08 12:05",38,5,"International"
"Aer Lingus","Dallas/Fort Worth International Airport","LHR","2023-06-08 12:50",27,110,"International"
"Japan Airlines","Copenhagen Airport","LHR","2023-06-08 12:50",60,108,"International"
"American Airlines","Dubai International Airport","LHR","2023-06-08 12:55",60,717,"International"
"MEA","Beirut International Airport","LHR","2023-06-08 13:00",13,10,"International"
"Swiss","Newark Liberty International Airport","LHR","2023-06-08 13:00",54,61,"International"
"American Airlines","Lisbon Humberto Delgado Airport","LHR","2023-06-08 13:00",65,717,"International"
"Finnair","Philadelphia International Airport","LHR","2023-06-08 13:00",15,146,"International"
"Virgin Atlantic","John F. Kennedy International Airport","LHR","2023-06-08 11:15",135,111,"International"
"American Airlines","Amsterdam Airport Schiphol","LHR","2023-06-08 13:05",95,717,"International"
"American Airlines","Munich International Airport","LHR","2023-06-08 13:05",77,717,"International"
"Austrian","Chicago O'Hare International Airport","LHR","2023-06-08 13:05",49,30,"International"
"American Airlines","Dubrovnik Airport","LHR","2023-06-08 13:05",2,717,"International"
"Delta Air Lines","Detroit Metropolitan Wayne County Airport","LHR","2023-06-08 12:55",11,73,"International"
"American Airlines","Adolfo Suarez Madrid-Barajas Airport","LHR","2023-06-08 13:05",79,717,"International"
"Aer Lingus","Dublin Airport","LHR","2023-06-08 13:10",107,110,"International"
"Aer Lingus","John F. Kennedy International Airport","LHR","2023-06-08 13:10",135,110,"International"
"Icelandair","Keflavik International Airport","LHR","2023-06-08 13:10",16,12,"International"
"British Airways","Istanbul Airport","LHR","2023-06-08 13:10",56,773,"International"
"American Airlines","Glasgow International Airport","LHR","2023-06-08 13:15",56,717,"Domestic"
"LOT - Polish Airlines","Indira Gandhi International Airport","LHR","2023-06-08 13:15",38,12,"International"
"Iberia","Toronto Pearson International Airport","LHR","2023-06-08 13:15",38,197,"International"
"American Airlines","Hannover Airport","LHR","2023-06-08 13:15",14,717,"International"
"American Airlines","Hamburg Airport","LHR","2023-06-08 13:15",41,717,"International"
"British Airways","Eleftherios Venizelos International Airport","LHR","2023-06-08 13:20",50,773,"International"
"KLM Royal Dutch Airlines","John F. Kennedy International Airport","LHR","2023-06-08 13:20",135,22,"International"
"Malaysia Airlines","Paris Charles de Gaulle Airport","LHR","2023-06-08 13:20",72,75,"International"
"American Airlines","Stockholm Arlanda Airport","LHR","2023-06-08 13:25",55,717,"International"
"United Airlines","Dublin Airport","LHR","2023-06-08 13:25",107,98,"International"
"Qantas Airways","George Best Belfast City Airport","LHR","2023-06-08 13:30",42,35,"Domestic"
"Lufthansa Cargo","Frankfurt Airport","LHR","2023-06-08 13:30",93,107,"International"
"Lufthansa","Frankfurt Airport","LHR","2023-06-08 13:30",93,107,"International"
"American Airlines","Vienna International Airport","LHR","2023-06-08 12:20",44,717,"International"
"Air Serbia","Belgrade Nikola Tesla Airport","LHR","2023-06-08 13:30",7,7,"International"
"British Airways","Edinburgh Airport","LHR","2023-06-08 13:35",73,773,"Domestic"
"Lufthansa Cargo","Munich International Airport","LHR","2023-06-08 13:35",77,107,"International"
"Lufthansa","Munich International Airport","LHR","2023-06-08 13:35",77,107,"International"
"British Airways","Ibiza Airport","LHR","2023-06-08 13:40",13,773,"International"
"Iberia","Philadelphia International Airport","LHR","2023-06-08 13:40",15,197,"International"
"Air Canada","George Bush Intercontinental Airport","LHR","2023-06-08 13:40",24,183,"International"
"Air Canada","Zurich Airport","LHR","2023-06-08 13:45",73,183,"International"
"Azores Airlines","Lisbon Humberto Delgado Airport","LHR","2023-06-08 13:45",65,6,"International"
"Virgin Atlantic","Shanghai Pudong International Airport","LHR","2023-06-08 13:45",19,111,"International"
"Aer Lingus","Cork Airport","LHR","2023-06-08 13:50",25,110,"International"
"Iberia","San Diego International Airport","LHR","2023-06-08 13:50",6,197,"International"
"Virgin Atlantic","Calgary International Airport","LHR","2023-06-08 13:55",11,111,"International"
"Air Canada","Stockholm Arlanda Airport","LHR","2023-06-08 13:55",55,183,"International"
"American Airlines","Prague Vaclav Havel Airport","LHR","2023-06-08 14:00",28,717,"International"
"Iberia","Bahrain International Airport","LHR","2023-06-08 14:00",19,197,"International"
"Iberia","Warsaw Chopin Airport","LHR","2023-06-08 14:00",34,197,"International"
"Qatar Airways","Toulouse-Blagnac Airport","LHR","2023-06-08 14:00",15,185,"International"
"Air India","Chhatrapati Shivaji International Airport","LHR","2023-06-08 14:00",38,26,"International"
"Air Canada","Montreal-Pierre Elliott Trudeau International Airport","LHR","2023-06-08 14:05",18,183,"International"
"Finnair","Dallas/Fort Worth International Airport","LHR","2023-06-08 14:05",27,146,"International"
"British Airways","Isle of Man Airport","LHR","2023-06-08 14:05",7,773,"International"
"Air France","Hartsfield-Jackson Atlanta International Airport","LHR","2023-06-08 13:55",24,67,"International"
"Iberia","King Khalid International","LHR","2023-06-08 14:05",25,197,"International"
"Lufthansa Cargo","San Francisco International Airport","LHR","2023-06-08 14:10",43,107,"International"
"Lufthansa","San Francisco International Airport","LHR","2023-06-08 14:10",43,107,"International"
