"airline_name","airport_name","dep_iata","dep_time","top_airports","top_airlines","destination"
"Air Transat","Edmonton International Airport","YYZ","2023-06-14 10:00",13,10,"Domestic"
"United Airlines","Washington Dulles International Airport","YYZ","2023-06-14 10:00",6,46,"International"
"United Airlines","Winnipeg J. A. Richardson International Airport","YYZ","2023-06-14 10:00",12,46,"Domestic"
"Westjet","Calgary International Airport","YYZ","2023-06-14 10:00",18,24,"Domestic"
"Egyptair","Montreal-Pierre Elliott Trudeau International Airport","YYZ","2023-06-14 10:00",15,5,"Domestic"
"Westjet","Cancun International Airport","YYZ","2023-06-14 10:00",5,24,"International"
"Air Canada","Miami International Airport","YYZ","2023-06-14 09:50",3,75,"International"
"Air Canada","Saskatoon John G. Diefenbaker International Airport","YYZ","2023-06-14 10:00",3,75,"Domestic"
"Air Transat","Calgary International Airport","YYZ","2023-06-14 10:05",18,10,"Domestic"
"Egyptair","Ottawa Macdonald-Cartier International Airport","YYZ","2023-06-14 10:10",11,5,"Domestic"
"Delta Air Lines","La Guardia Airport","YYZ","2023-06-14 10:00",19,16,"International"
"Cathay Pacific Airways","Vancouver International Airport","YYZ","2023-06-14 10:10",15,4,"Domestic"
"Aeromexico","Benito Juarez International Airport","YYZ","2023-06-14 10:01",2,2,"International"
"Flair Airlines","Vancouver International Airport","YYZ","2023-06-14 10:15",15,9,"Domestic"
"Jazz Aviation","Jean Lesage International Airport","YYZ","2023-06-14 09:50",5,26,"Domestic"
"American Airlines","John F. Kennedy International Airport","YYZ","2023-06-14 10:26",6,7,"International"
"United Airlines","Newark Liberty International Airport","YYZ","2023-06-14 10:32",12,46,"International"
"Air North","Yellowknife Airport","YYZ","2023-06-14 10:45",1,1,"Domestic"
"British Airways","La Guardia Airport","YYZ","2023-06-14 10:59",19,4,"International"
"Delta Air Lines","Calgary International Airport","YYZ","2023-06-14 11:00",18,16,"Domestic"
"Delta Air Lines","Los Angeles International Airport","YYZ","2023-06-14 11:00",6,16,"International"
"SkyWest Airlines","Chicago O'Hare International Airport","YYZ","2023-06-14 11:00",12,3,"International"
"Jazz Aviation","John F. Kennedy International Airport","YYZ","2023-06-14 11:00",6,26,"International"
"Air Canada","Montreal-Pierre Elliott Trudeau International Airport","YYZ","2023-06-14 11:00",15,75,"Domestic"
"Air Canada Rouge","Fort McMurray Airport","YYZ","2023-06-14 10:45",1,19,"Domestic"
"Caspian Airlines","Fort McMurray Airport","YYZ","2023-06-14 10:45",1,19,"Domestic"
"American Airlines","Philadelphia International Airport","YYZ","2023-06-14 11:01",6,7,"International"
"Egyptair","Edmonton International Airport","YYZ","2023-06-14 11:05",13,5,"Domestic"
"Westjet","John F. Kennedy International Airport","YYZ","2023-06-14 11:10",6,24,"International"
"Delta Air Lines","Hartsfield-Jackson Atlanta International Airport","YYZ","2023-06-14 11:29",6,16,"International"
"Air Canada","L.F. Wade International Airport","YYZ","2023-06-14 11:20",1,75,"International"
"Air Canada","Newark Liberty International Airport","YYZ","2023-06-14 11:30",12,75,"International"
"Royal Jordanian","Montreal-Pierre Elliott Trudeau International Airport","YYZ","2023-06-14 11:30",15,1,"Domestic"
