"airline_name","airport_name","dep_iata","dep_time","top_airports","top_airlines","destination"
NA,"Aguascalientes International Airport","LAX","2023-06-06 10:23",2,39,"International"
"American Airlines","Tokyo International Airport","LAX","2023-06-06 10:28",22,69,"International"
"Virgin Atlantic","Salt Lake City International Airport","LAX","2023-06-06 10:00",4,18,"Domestic"
"Air Premia","Incheon International Airport","LAX","2023-06-06 10:50",23,4,"International"
"Air Tahiti Nui","Charlotte Douglas International Airport","LAX","2023-06-06 07:26",6,12,"Domestic"
"British Airways","Miami International Airport","LAX","2023-06-06 06:00",5,14,"Domestic"
"American Airlines","Miami International Airport","LAX","2023-06-06 08:08",5,69,"Domestic"
"American Airlines","Raleigh-Durham International Airport","LAX","2023-06-06 09:00",6,69,"Domestic"
"Aeromexico","Licenciado Gustavo Diaz Ordaz International Airport","LAX","2023-06-06 10:00",4,23,"International"
"Hawaiian Airlines","Kona International Airport","LAX","2023-06-06 11:00",5,18,"Domestic"
NA,"General Francisco J. Mujica International Airport","LAX","2023-06-06 11:23",3,39,"International"
"EL AL","Ben Gurion International Airport","LAX","2023-06-06 11:30",4,3,"International"
"Westjet","Benito Juarez International Airport","LAX","2023-06-06 11:52",23,6,"International"
"Copa Airlines","Incheon International Airport","LAX","2023-06-06 12:10",23,7,"International"
"Avianca","Taiwan Taoyuan International Airport","LAX","2023-06-06 12:15",20,12,"International"
"Aeromexico","Incheon International Airport","LAX","2023-06-06 12:30",23,23,"International"
"Thai Airways International","Narita International Airport","LAX","2023-06-06 12:45",15,4,"International"
"Philippine Airlines","Ninoy Aquino International Airport","LAX","2023-06-06 12:50",9,9,"International"
"LATAM Airlines Chile","Narita International Airport","LAX","2023-06-06 13:05",15,10,"International"
NA,"Aeropuerto Internacional El Salvador","LAX","2023-06-06 13:50",12,2,"International"
"SAS","Copenhagen Airport","LAX","2023-06-06 13:50",5,5,"International"
"KLM Royal Dutch Airlines","Amsterdam Airport Schiphol","LAX","2023-06-06 13:55",8,3,"International"
"Uzbekistan Airways","Istanbul Airport","LAX","2023-06-06 13:55",9,4,"International"
"Delta Air Lines","Hartsfield-Jackson Atlanta International Airport","LAX","2023-06-06 14:00",9,32,"Domestic"
"Alaska Airlines","Tokyo International Airport","LAX","2023-06-06 13:30",22,13,"International"
"Singapore Airlines","Narita International Airport","LAX","2023-06-06 14:20",15,14,"International"
"Aeromexico","Benito Juarez International Airport","LAX","2023-06-06 14:30",23,23,"International"
"Avianca Costa Rica","La Aurora International Airport","LAX","2023-06-06 14:45",5,1,"International"
"Malaysia Airlines","Hamad International Airport","LAX","2023-06-06 14:45",7,11,"International"
"Austrian","Frankfurt Airport","LAX","2023-06-06 15:00",7,4,"International"
